,MatchId,MapName,RoundNum,RoundTick,BombPlantedA,BombPlantedB,AttackerSide,VictimSide,AttackerSteamId,EventType,VictimSteamId,TAlive,CTAlive,TTotalHp,CTTotalHp,ClosestDistToA_T,ClosestDistToB_T,ChangeClosestDistToA_T,ChangeClosestDistToB_T,ClosestDistToA_CT,ClosestDistToB_CT,ChangeClosestDistToA_CT,ChangeClosestDistToB_CT,RoundEndReason,CTBuyType,TBuyType,WinningSide,TWinProb
4477,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,2840,False,False,,,,PositionUpdate,,5.0,5.0,486.0,400.0,31.0,16.0,0.0,-3.0,7.0,9.0,0.0,-1.0,BombDefused,Pistol,Pistol,CT,0.7606639912124833
4478,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,2969,False,False,,,,PositionUpdate,,5.0,5.0,486.0,400.0,31.0,16.0,0.0,0.0,7.0,12.0,0.0,3.0,BombDefused,Pistol,Pistol,CT,0.7622103012345277
4479,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,3098,False,False,,,,PositionUpdate,,5.0,5.0,486.0,400.0,31.0,15.0,0.0,-1.0,14.0,15.0,7.0,3.0,BombDefused,Pistol,Pistol,CT,0.7685228025868731
4480,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,3227,False,False,,,,PositionUpdate,,5.0,5.0,486.0,400.0,31.0,16.0,0.0,1.0,12.0,17.0,-2.0,2.0,BombDefused,Pistol,Pistol,CT,0.7660650463912125
4481,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,3356,False,False,,,,PositionUpdate,,5.0,5.0,486.0,400.0,32.0,14.0,1.0,-2.0,11.0,17.0,-1.0,0.0,BombDefused,Pistol,Pistol,CT,0.7668766906747044
4482,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,3485,False,False,,,,PositionUpdate,,5.0,5.0,486.0,400.0,32.0,14.0,0.0,0.0,10.0,13.0,-1.0,-4.0,BombDefused,Pistol,Pistol,CT,0.7641445246325592
4483,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,3614,False,False,,,,PositionUpdate,,5.0,5.0,486.0,400.0,32.0,14.0,0.0,0.0,12.0,15.0,2.0,2.0,BombDefused,Pistol,Pistol,CT,0.7662616969932605
4484,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,3743,False,False,,,,PositionUpdate,,5.0,5.0,486.0,400.0,32.0,16.0,0.0,2.0,14.0,16.0,2.0,1.0,BombDefused,Pistol,Pistol,CT,0.7647258785160024
4485,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,3872,False,False,,,,PositionUpdate,,5.0,5.0,486.0,400.0,32.0,17.0,0.0,1.0,14.0,17.0,0.0,1.0,BombDefused,Pistol,Pistol,CT,0.763220646199482
4486,BLAST-Premier-Spring-Showdown-2021-astralis-vs-og-bo3,de_dust2,16,4001,False,False,,,,PositionUpdate,,5.0,5.0,486.0,400.0,32.0,21.0,0.0,4.0,14.0,16.0,0.0,-1.0,BombDefused,Pistol,Pistol,CT,0.7570482820230362
